"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"722","334890","이지스밸류리츠","4,815","15","+0.31%","1,000","1,156","24,000",2.29,"39,639","N/A","47.51"
"723","100840","S&TC","15,350","50","-0.32%","500","1,152","7,507",2.76,"31,605","7.04","N/A"
"724","152550","한국ANKOR유전","1,645","5","-0.30%","0","1,152","70,020",0.04,"17,887","N/A","N/A"
"725","014530","극동유화","3,300","20","-0.60%","500","1,151","34,869",1.86,"67,081","9.51","8.75"
"726","009200","무림페이퍼","2,750","10","+0.36%","2,500","1,144","41,609",5.07,"201,590","-5.21","-2.17"
"727","002880","대유에이텍","1,070","10","+0.94%","500","1,144","106,916",2.42,"1,872,045","7.70","9.75"
"728","520026","미래에셋 코스피 양매도 5% OTM ETN","7,615","0","0.00%","0","1,142","15,000",0,"0","N/A","N/A"
"729","360200","KINDEX 미국S&P500","10,550","55","-0.52%","0","1,139","10,800",2.61,"158,402","N/A","N/A"
"730","032560","황금에스티","8,130","130","+1.63%","500","1,138","14,000",2.46,"115,822","12.15","10.23"
"731","176950","KODEX 국채선물10년인버스","46,475","120","+0.26%","0","1,138","2,448",0,"709","N/A","N/A"
"732","001380","SG충방","2,530","60","+2.43%","500","1,138","44,964",0.27,"908,319","-105.42","0.59"
"733","012160","영흥","1,225","50","-3.92%","500","1,136","92,734",0.88,"1,803,794","-13.61","0.64"
"734","244920","에이플러스에셋","5,010","0","0.00%","500","1,133","22,608",0.11,"95,867","6.65","N/A"
"735","233160","TIGER 코스닥150 레버리지","17,020","1,335","+8.51%","0","1,132","6,650",5.81,"1,543,770","N/A","N/A"
"736","078000","텔코웨어","11,650","100","+0.87%","500","1,130","9,703",1.2,"14,430","41.61","3.86"
"737","138540","TIGER 현대차그룹+펀더멘털","26,850","1,255","+4.90%","0","1,128","4,200",0,"93,946","N/A","N/A"
"738","009440","KC그린홀딩스","5,020","50","-0.99%","500","1,126","22,435",2.76,"126,506","-16.41","4.61"
"739","570046","TRUE 인버스 2X 천연가스 선물 ETN(H)","22,310","990","-4.25%","0","1,116","5,000",0,"30,380","N/A","N/A"
"740","092440","기신정기","3,805","25","-0.65%","500","1,111","29,200",64.34,"50,467","14.92","3.69"
"741","053690","한미글로벌","10,100","260","+2.64%","500","1,107","10,958",2.36,"176,571","14.92","20.64"
"742","003650","미창석유","63,200","200","-0.32%","5,000","1,099","1,740",31.44,"421","5.68","N/A"
"743","010960","삼호개발","4,390","35","+0.80%","500","1,098","25,000",6.55,"167,334","6.40","11.65"
"744","002070","비비안","4,105","355","-7.96%","500","1,098","26,736",1.36,"6,141,373","-2.06","-2.12"
"745","367380","KINDEX 미국나스닥100","11,135","50","-0.45%","0","1,091","9,800",0.57,"245,324","N/A","N/A"
"746","010820","퍼스텍","2,265","35","+1.57%","500","1,089","48,061",2.54,"287,449","-27.62","-31.41"
"747","024900","덕양산업","3,340","90","+2.77%","500","1,088","32,565",2.28,"1,373,988","-11.36","-26.33"
"748","004830","덕성","6,900","390","+5.99%","500","1,082","15,680",1,"364,185","28.63","0.29"
"749","012600","센트럴인사이트","10,100","100","+1.00%","500","1,080","10,696",61.91,"166,298","-7.18","-124.59"
"750","034590","인천도시가스","24,650","150","+0.61%","5,000","1,078","4,375",1.31,"814","10.39","5.87"
"751","001290","상상인증권","1,120","0","0.00%","1,000","1,076","96,108",0.32,"127,155","20.00","-6.42"
"752","570043","TRUE 레버리지 나스닥 100 ETN","21,430","195","-0.90%","0","1,072","5,000",0,"221,268","N/A","N/A"
"753","008250","이건산업","9,750","190","+1.99%","5,000","1,068","10,953",5.78,"237,464","42.76","0.44"
"754","130680","TIGER 원유선물Enhanced(H)","2,365","15","+0.64%","0","1,068","45,150",0.43,"502,002","N/A","N/A"
"755","004080","신흥","11,100","300","+2.78%","500","1,066","9,600",0.25,"20,174","12.89","2.33"
"756","021050","서원","2,230","60","-2.62%","500","1,059","47,475",2.24,"351,488","-111.50","3.06"
"757","129260","인터지스","3,550","220","+6.61%","500","1,056","29,748",0.7,"532,382","-3.98","-14.20"
"758","085310","엔케이","1,320","35","+2.72%","500","1,056","79,983",2.11,"1,521,800","-5.52","-25.29"
"759","000220","유유제약","13,100","200","+1.55%","1,000","1,053","8,035",0.67,"55,852","32.51","5.41"
"760","108450","KINDEX 삼성그룹섹터가중","16,695","225","+1.37%","0","1,052","6,300",0,"8,766","N/A","N/A"
"761","267290","경동도시가스","17,800","50","-0.28%","2,500","1,049","5,895",15.38,"11,157","5.94","7.45"
"762","219480","KODEX 미국S&P500선물(H)","17,855","45","-0.25%","0","1,045","5,850",0.01,"156,997","N/A","N/A"
"763","002600","조흥","172,500","2,500","+1.47%","5,000","1,035","600",0,"95","11.48","6.15"
"764","003720","삼영화학","3,030","65","+2.19%","500","1,030","34,000",4.6,"499,844","336.67","-4.49"
"765","001550","조비","19,800","700","-3.41%","5,000","1,028","5,192",0.16,"113,059","32.09","-0.27"
"766","071970","STX중공업","3,620","5","+0.14%","2,500","1,027","28,366",0.12,"133,438","-3.58","-22.78"
"767","282000","KBSTAR 국고채3년선물인버스","99,475","35","+0.04%","0","1,027","1,032",0,"157","N/A","N/A"
"768","227840","현대코퍼레이션홀딩스","11,200","900","+8.74%","5,000","1,019","9,101",2.4,"263,746","7.07","5.93"
"769","015230","대창단조","7,120","30","+0.42%","1,000","1,017","14,286",6.81,"58,496","7.57","8.12"
"770","015540","쎌마테라퓨틱스","8,240","130","-1.55%","500","1,016","12,333",3.1,"745,130","-3.38","-724.10"
"771","058430","포스코강판","16,900","100","+0.60%","5,000","1,014","6,000",1.55,"29,216","22.47","1.23"
"772","027970","세하","1,760","5","-0.28%","1,000","1,013","57,563",0.13,"515,360","4.10","34.66"
"773","194370","제이에스코퍼레이션","7,580","200","+2.71%","100","1,011","13,336",0.9,"32,890","17.39","5.26"
"774","002870","신풍제지","2,880","25","-0.86%","500","1,007","34,959",0.38,"2,409,811","27.17","32.25"
"775","156080","KODEX MSCI Korea","20,135","365","+1.85%","0","1,007","5,000",0,"101","N/A","N/A"
"776","007280","한국특수형강","1,875","10","+0.54%","500","998","53,242",0.29,"107,024","-6.36","-27.55"
"777","002360","SH에너지화학","898","20","+2.28%","500","998","111,134",34.14,"1,362,381","-11.51","-2.84"
"778","002140","고려산업","3,995","25","+0.63%","1,000","996","24,939",0.53,"183,773","12.14","4.75"
"779","011330","유니켐","1,450","5","+0.35%","500","996","68,710",1.57,"1,008,272","9.01","21.11"
"780","350520","이지스레지던스리츠","4,815","15","-0.31%","1,000","992","20,600",0.03,"23,335","N/A","N/A"
"781","031820","콤텍시스템","1,445","0","0.00%","500","980","67,851",0.2,"1,718,903","-27.26","1.22"
